Session ID,Class Name,Grade Range,Instructor,Day of Week,Time,Start Date,End Date,Number of Classes,Location,Cost,Program Overview,Detail URL
547187,Sparkle & Shine: Jewelry Making for Beginners [S26],Grades Kindergarten - 1st,Dragonfly Designs,Monday,3:30 PM - 4:30 PM,1/12/2026,6/8/2026,18,CAIS K - 8th,$765.00,"Monday: (18 classes) Jan. 12, 26; Feb. 2, 9, 23; Mar. 2, 9, 16, 23, 30; Apr. 13, 20, 27; May 4, 11, 18; Jun. 1, 8. Spark your child’s confidence through creativity! In this joyful beginner’s jewelry class, young makers will explore vibrant colors, textures, and patterns as they learn foundational beading techniques. Each project supports early childhood development—from fine motor skills to pattern recognition—all while encouraging imaginative expression. Children leave not just with beautiful, wearable art, but with the self-assurance that comes from making something all their own.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=547187&campCode=cis
554397,Superhero Science School: Unlock The Elements,Grades Kindergarten - 2nd,Maker Studio,Monday,3:30 PM - 4:30 PM,1/12/2026,5/18/2026,16,CAIS K - 8th,$740.00,"We are calling forward the elementals powers of Air, Fire, Water, and Earth! Using a secret combination of science and art, we will teach young superheros how to use these elemental powers! This is the perfect opportunity for you to unlock the natural elements of our Earth! In this program, we'll embark on exciting projects designed to push the boundaries of science. From creating lava to developing fantastic flying machines, every challenge will put your skills to the test. Get ready to experiment, innovate, and put your creations into action! **Our projects may include:** Flying machines, volcano eruption experiment, creations that stand on water",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554397&campCode=cis
552778,Art Explorers: Around the World in 8 Crafts,Grades Kindergarten - 3rd,Dragonfly Designs,Tuesday,3:30 PM - 4:30 PM,1/13/2026,6/9/2026,20,CAIS K - 8th,$850.00,"Let your child’s imagination soar as we journey across continents through the lens of art! Each week, students will explore a new culture by creating folk art inspired by global traditions—like Japanese fish kites, Mexican tin hearts, and Australian dot paintings. Along the way, students build cultural awareness, global curiosity, and creative confidence while working with diverse materials. This class encourages empathy, respect, and wonder through hands-on learning.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=552778&campCode=cis
547168,"Yarn Club – Keep Creating, Keep Crafting!",Grades Kindergarten - 8th,Fiona Kwee,Tuesday,4:30 PM - 5:30 PM,1/13/2026,6/9/2026,18,CAIS K - 8th,"$1,170.00","Yarn Club – Keep Creating, Keep Crafting! Whether you're just curious or already hooked, Yarn Club is the perfect place to dive into cozy crafting with a community of fellow makers! From beginner-friendly knitting and crocheting to playful weaving and yarn-based projects, each session offers something new to try or build upon—at your own pace. Returning students will continue developing their skills while taking on more creative challenges—think mini plushies, wall hangings, or custom accessories. New to yarn? No problem! We'll start with the basics and guide you every step of the way. It’s a welcoming space to unwind, explore, and **actually finish projects you’re proud of**. Great for kids who love to craft, want to keep progressing, or just want a relaxing, creative outlet after school.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=547168&campCode=cis
552775,Art Lab: Science Meets Creativity,Grades Kindergarten - 3rd,Dragonfly Designs,Wednesday,4:45 PM - 5:45 PM,1/14/2026,6/10/2026,20,CAIS K - 8th,$850.00,"Where creativity and curiosity collide! Each week, students engage in guided experiments that blend art and science—like salt & watercolor reactions, magnetic painting, and sun prints. Alongside beautiful take-home projects, kids explore cause and effect, color theory, and basic chemistry in a playful, age-appropriate way. It’s STEAM learning in its most colorful form!",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=552775&campCode=cis
547369,Costume Creations,Grades Kindergarten - 1st,Dragonfly Designs,Wednesday,3:30 PM - 4:30 PM,1/14/2026,6/10/2026,20,CAIS K - 8th,$850.00,"Let their imaginations take center stage! In this playful class, children bring stories to life through colorful, handmade costumes. From capes to crowns, each project builds hand-eye coordination and creativity while strengthening their ability to focus and express big feelings. Designed with early childhood development in mind, this class supports social-emotional growth through imaginative play and collaboration.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=547369&campCode=cis
552785,Fantastical Clay Class with Issy,Grades Kindergarten - 5th,Issy Taylor,Thursday,3:30 PM - 4:30 PM,1/15/2026,5/7/2026,13,CAIS K - 8th,"$1,250.00","An art class like never before. Students will get to experience the full benefits of the new campus' ceramic studio beyond their regular art curriculum. Students will hand build, experiment with new glazes and learn how the kilns work. They will learn new skills they haven't gotten during the school day. They will bring home their pieces as they finish them! This new class will be a lot of fun!",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=552785&campCode=cis
546332,Spring Sewing: Beginner & Intermediate,Grades Kindergarten - 5th,Fiona Kwee,Thursday,3:30 PM - 4:30 PM,1/15/2026,6/4/2026,16,CAIS K - 8th,"$1,098.00","[No Class March 19] Learn to sew this spring! In our fun and creative Beginners Sewing Class, young makers will learn the basics of sewing while creating adorable spring-themed projects they can take home with pride. Each week focuses on building fundamental skills such as threading a needle and cutting fabric safely, different types of stitching, pinning, and decorating simple patterns. Intermediate sewers will continue to hone their stitching skills and work on more intricate projects. Students will complete a variety of projects such as mini pillows, tote bags, and small plushies, while discovering the joy of working with fabric and color.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546332&campCode=cis
547384,Sprout & Create: Nature Art Adventures,Grades Kindergarten - 1st,Dragonfly Design,Thursday,3:30 PM - 4:30 PM,1/15/2026,6/4/2026,17,CAIS K - 8th,$725.00,"Let nature spark their imagination! In this outdoor-inspired class, children explore plant life and the seasons through hands-on art. From leaf rubbings to flower collages, each project connects kids to the natural world while supporting sensory development, environmental awareness, and creative expression.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=547384&campCode=cis
554360,TinkerTales Jr: The Inventor’s Kingdom Quest,Grades Kindergarten - 1st,Maker Studio,Thursday,3:30 PM - 4:30 PM,1/15/2026,5/28/2026,17,CAIS K - 8th,$780.00,"Enter the Tinkertales Jr: Inventor’s Kingdom, where knights, dragons, and castle builders bring their ideas to life! In this hands-on maker adventure, kids will design and construct medieval-inspired creations using recycled materials, paper engineering, and light construction techniques. Each week begins with a playful quest — from building a dragon’s lair to designing gadgets for a royal mission. Students will craft castles, armor, maps, and fantastical props while learning problem-solving, teamwork, and the art of turning cardboard into magic. We’ll use simple tools and connectors (tape, brads, yarn) to encourage imagination, experimentation, and “maker bravery” — perfect for creative kids who love a good story and a great build.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554360&campCode=cis
