Session ID,Class Name,Grade Range,Instructor,Day of Week,Time,Start Date,End Date,Number of Classes,Location,Cost,Program Overview,Detail URL
531232,4/6-4/10 Preschool Spring Break Mini-Camp,Grades P2 - P4,Unknown,,,4/6/2026,4/10/2026,,CAIS K-8th,,"Fee: $275 per day Extended care from 3:30 - 6:00 p.m. is $35 per day. If your child is signed up for April extended care, this care will be included with participation in a mini camp.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=531232&campCode=cis
553474,JAMaROO Kids Music and Movement [P.2],Grade P2,Unknown,Monday,3:30 PM - 4:00 PM,1/12/2026,6/8/2026,18,CAIS K-8th,$630,"Come clap your hands, stomp your feet, and shake your hips to the rhythm and the beat! In the JAMaROO Kids Music & Movement classes, we’ll sing traditional songs and learn original ones too (many written by our own teachers). Our music curriculum has been developed to spark creativity and incorporate imaginative play. Each month, we’ll focus on a different seasonal curriculum that incorporates the use of puppets, books, and other props to maximize the educational experience and keep classes fun and exciting! Throughout the year, our teachers will use a variety of simple instruments and introduce children to different genres of music from around the world. Through movement activities, children will build gross motor skills, directly encouraging strength, balance, and coordination. Our teachers will use bean bags, scarves, shakers, rhythm sticks, and other equipment to make classes more interactive and hands-on. At JAMaROO Kids all of our music, dance, and yoga curriculum is developed to support and foster all five key areas of development: Cognitive, Speech & Language, Gross Motor Development, Fine Motor Development, Social and Emotional. Intructor: Andrew Roubal Fee: $630 Monday: (18 classes) Jan. 12, 26; Feb. 2, 9, 23; Mar. 2, 9, 16, 23, 30; Apr. 13, 20, 27; May 4, 11, 18; Jun. 1,8.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553474&campCode=cis
553477,Messy art adventure! with Zhang Laoshi [S26],Grade P2,Unknown,Tuesday,3:30 PM - 4:30 PM,1/13/2026,3/31/2026,11,CAIS K-8th,$550,"In this 11-session program designed for children ages 2–3, little artists will dive hands-on into the joyful, messy world of clay play. They’ll squish, squeeze, flatten, and roll the soft clay, exploring its textures, colors, shapes, and endless possibilities. Through this delightful “messy play,” children will not only strengthen their fine motor skills but also discover beauty, express their imagination, and build confidence through creative exploration. Each class is a warm, playful, and wonder-filled artistic journey where getting messy is part of the magic! Fee: $550 Tuesday: (11 classes) Jan. 13, 20, 27; Feb. 3, 10, 24; Mar. 3, 10, 17, 24, 31",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553477&campCode=cis
553482,Social Play with Chen Laoshi in Chinese [P.2],Grade P2,Unknown,,3:30 PM - 4:30 PM,1/15/2026,6/4/2026,17,CAIS K-8th,$850,"This program for 2-3 year olds uses guided play to help children learn vital social skills—taking turns, waiting, and expressing themselves—as they interact and have fun with peers in a joyful environment. Fee: $850 (17 classes) Jan. 15, 22, 29; Feb. 5, 26; Mar. 5, 12, 19, 26; Apr. 16, 23, 30; May 7, 14, 21, 28; Jun. 4",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553482&campCode=cis
527450,January Extended Care [Preschool],Grades P2 - P4,Unknown,,3:30 PM - 6:00 PM,1/5/2026,1/31/2026,,CAIS K-8th,$470.00,6 p.m. The month of June will be free for all students signed up for extended care from September to May. Please use code 'FULLYEAR' to receive June Aftercare for Free if this applies to you. Monthly Auto Payment Plan Available at 'Payment Options' page select 'Other payment options' select 'Monthly Extended Care Plan' on each month,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=527450&campCode=cis
527451,February Extended Care [Preschool],Grades P2 - P4,Unknown,,3:30 PM - 6:00 PM,2/1/2026,2/28/2026,,CAIS K-8th,$470.00,6 p.m. The month of June will be free for all students signed up for extended care from September to May. Please use code 'FULLYEAR' to receive June Aftercare for Free if this applies to you. Monthly Auto Payment Plan Available at 'Payment Options' page select 'Other payment options' select 'Monthly Extended Care Plan' on each month,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=527451&campCode=cis
527452,March Extended Care [Preschool],Grades P2 - P4,Unknown,,3:30 PM - 6:00 PM,3/1/2026,3/31/2026,,CAIS K-8th,$470.00,6 p.m. The month of June will be free for all students signed up for extended care from September to May. Please use code 'FULLYEAR' to receive June Aftercare for Free if this applies to you. Monthly Auto Payment Plan Available at 'Payment Options' page select 'Other payment options' select 'Monthly Extended Care Plan' on each month,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=527452&campCode=cis
527453,April Extended Care [Preschool],Grades P2 - P4,Unknown,,3:30 PM - 6:00 PM,4/1/2026,4/30/2026,,CAIS K-8th,$470.00,6 p.m. The month of June will be free for all students signed up for extended care from September to May. Please use code 'FULLYEAR' to receive June Aftercare for Free if this applies to you. Monthly Auto Payment Plan Available at 'Payment Options' page select 'Other payment options' select 'Monthly Extended Care Plan' on each month,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=527453&campCode=cis
527454,May Extended Care [Preschool],Grades P2 - P4,Unknown,,3:30 PM - 6:00 PM,5/1/2026,5/31/2026,,CAIS K-8th,$470.00,6 p.m. The month of June will be free for all students signed up for extended care from September to May. Please use code 'FULLYEAR' to receive June Aftercare for Free if this applies to you. Monthly Auto Payment Plan Available at 'Payment Options' page select 'Other payment options' select 'Monthly Extended Care Plan' on each month,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=527454&campCode=cis
527455,June Extended Care [Preschool],Grades P2 - P4,Unknown,,3:30 PM - 6:00 PM,6/1/2026,6/30/2026,,CAIS K-8th,$250.00,6 p.m. The month of June will be free for all students signed up for extended care from September to May. Please use code 'FULLYEAR' to receive June Aftercare for Free if this applies to you. Monthly Auto Payment Plan Available at 'Payment Options' page select 'Other payment options' select 'Monthly Extended Care Plan' on each month,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=527455&campCode=cis
